# SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,OnlineOrderFlag,CustomerID,ContactID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,TotalDue,salesreasonId
43659,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,676,378,279,5,985,985,5,27231.5495,
43660,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,117,216,279,5,921,921,5,1716.1794,
43661,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,442,281,282,6,517,517,5,43561.4424,
43662,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,227,564,282,6,482,482,5,38331.9613,
43663,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,510,97,276,4,1073,1073,5,556.2026,
43664,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,397,458,280,1,876,876,5,32390.2031,
43665,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,146,114,283,1,849,849,5,19005.2087,
43666,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,511,828,276,4,1074,1074,5,6718.051,
43667,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,646,542,277,3,629,629,5,8095.7863,
43668,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,514,151,282,6,529,529,5,47815.6341,
43669,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,578,295,283,1,895,895,5,974.0229,
43670,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,504,99,275,3,810,810,5,8115.6763,
43671,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,200,448,283,1,855,855,5,10784.9873,
43672,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,119,844,282,6,464,464,5,8116.2564,
43673,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,618,398,275,2,821,821,5,4944.3422,
43674,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,83,131,282,6,458,458,5,3479.9306,
43675,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,670,380,277,3,631,631,5,7553.7239,
43676,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,17,364,275,5,755,755,5,18830.1112,
43677,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,679,377,278,6,556,556,5,10319.3341,
43678,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,203,447,281,4,1021,1021,5,13012.3969,
43679,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,480,309,278,6,525,525,5,1737.6562,
43680,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,491,6,281,4,1069,1069,5,15105.894,
43681,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,423,204,279,5,955,955,5,18274.86,
43682,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,486,307,275,2,808,808,5,5135.4906,
43683,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,506,14,283,1,889,889,5,56729.9942,
43684,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,549,475,279,5,971,971,5,7420.92,
43685,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,458,862,279,5,958,958,5,3635.464,
43686,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,344,142,283,1,871,871,5,4592.3356,
43687,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,269,147,275,2,783,783,5,1668.6076,
43688,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,161,265,275,2,771,771,5,16891.0829,
43689,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,166,186,277,4,578,578,5,45187.5136,
43690,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,431,51,275,3,801,801,5,1715.5492,
43691,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,292,103,277,4,592,592,5,1159.9768,
43692,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,221,562,281,4,1024,1024,5,51056.4965,
43693,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,485,8,275,5,807,807,5,27204.4979,
43694,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,315,75,279,5,943,943,5,27325.6232,
43695,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,27,524,279,5,911,911,5,52314.3358,
43696,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,0,603,403,279,5,977,977,5,556.2026,
43697,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,1,21768,13278,,6,23148,23148,1,3953.9884,9
43698,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,1,28389,14719,,7,24593,24593,1,3756.989,
43699,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,1,25863,9753,,1,19613,19613,1,3756.989,
43700,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,1,14501,10411,,4,20278,20278,1,772.5036,
43701,1,2001-07-01 0:00:00,2001-07-13 0:00:00,2001-07-08 0:00:00,1,11003,10558,,9,20425,20425,1,3756.989,
43702,1,2001-07-02 0:00:00,2001-07-14 0:00:00,2001-07-09 0:00:00,1,27645,12714,,4,22584,22584,1,3953.9884,9
43703,1,2001-07-02 0:00:00,2001-07-14 0:00:00,2001-07-09 0:00:00,1,16624,14097,,9,23967,23967,1,3953.9884,9
43704,1,2001-07-02 0:00:00,2001-07-14 0:00:00,2001-07-09 0:00:00,1,11005,6190,,9,16025,16025,1,3729.364,
43705,1,2001-07-02 0:00:00,2001-07-14 0:00:00,2001-07-09 0:00:00,1,11011,17458,,9,27345,27345,1,3756.989,
43706,1,2001-07-03 0:00:00,2001-07-15 0:00:00,2001-07-10 0:00:00,1,27621,3429,,4,13264,13264,1,3953.9884,9
43707,1,2001-07-03 0:00:00,2001-07-15 0:00:00,2001-07-10 0:00:00,1,27616,11053,,4,20923,20923,1,3953.9884,9
43708,1,2001-07-03 0:00:00,2001-07-15 0:00:00,2001-07-10 0:00:00,1,20042,8574,,10,18427,18427,1,772.5036,
43709,1,2001-07-03 0:00:00,2001-07-15 0:00:00,2001-07-10 0:00:00,1,16351,4116,,9,13951,13951,1,3953.9884,9
43710,1,2001-07-03 0:00:00,2001-07-15 0:00:00,2001-07-10 0:00:00,1,16517,15562,,9,25446,25446,1,3953.9884,9
43711,1,2001-07-04 0:00:00,2001-07-16 0:00:00,2001-07-11 0:00:00,1,27606,8551,,1,18404,18404,1,3953.9884,9
43712,1,2001-07-04 0:00:00,2001-07-16 0:00:00,2001-07-11 0:00:00,1,13513,11997,,8,21867,21867,1,3953.9884,9
43713,1,2001-07-05 0:00:00,2001-07-17 0:00:00,2001-07-12 0:00:00,1,27601,2035,,4,11855,11855,1,3953.9884,9
43714,1,2001-07-05 0:00:00,2001-07-17 0:00:00,2001-07-12 0:00:00,1,13591,5334,,10,15169,15169,1,3953.9884,9
43715,1,2001-07-05 0:00:00,2001-07-17 0:00:00,2001-07-12 0:00:00,1,16483,18322,,9,28213,28213,1,3953.9884,9
43716,1,2001-07-05 0:00:00,2001-07-17 0:00:00,2001-07-12 0:00:00,1,16529,13687,,9,23557,23557,1,3953.9884,9
43717,1,2001-07-05 0:00:00,2001-07-17 0:00:00,2001-07-12 0:00:00,1,25249,1989,,9,11809,11809,1,772.5036,
43718,1,2001-07-06 0:00:00,2001-07-18 0:00:00,2001-07-13 0:00:00,1,27668,15462,,1,25346,25346,1,3953.9884,9
43719,1,2001-07-06 0:00:00,2001-07-18 0:00:00,2001-07-13 0:00:00,1,27612,4019,,4,13854,13854,1,3953.9884,9
43720,1,2001-07-06 0:00:00,2001-07-18 0:00:00,2001-07-13 0:00:00,1,13264,8731,,8,18584,18584,1,3953.9884,9
43721,1,2001-07-06 0:00:00,2001-07-18 0:00:00,2001-07-13 0:00:00,1,13590,12276,,10,22146,22146,1,3953.9884,9
43722,1,2001-07-07 0:00:00,2001-07-19 0:00:00,2001-07-14 0:00:00,1,13581,14120,,10,23990,23990,1,3953.9884,9
43723,1,2001-07-07 0:00:00,2001-07-19 0:00:00,2001-07-14 0:00:00,1,14520,2879,,1,12708,12708,1,772.5036,
43724,1,2001-07-07 0:00:00,2001-07-19 0:00:00,2001-07-14 0:00:00,1,16520,15688,,9,25572,25572,1,3953.9884,9
43725,1,2001-07-08 0:00:00,2001-07-20 0:00:00,2001-07-15 0:00:00,1,13258,13574,,8,23444,23444,1,3953.9884,9
43726,1,2001-07-08 0:00:00,2001-07-20 0:00:00,2001-07-15 0:00:00,1,14560,16103,,4,25989,25989,1,772.5036,
43727,1,2001-07-08 0:00:00,2001-07-20 0:00:00,2001-07-15 0:00:00,1,16607,5667,,9,15502,15502,1,3953.9884,9
43728,1,2001-07-09 0:00:00,2001-07-21 0:00:00,2001-07-16 0:00:00,1,27666,10749,,4,20616,20616,1,3953.9884,9
43729,1,2001-07-09 0:00:00,2001-07-21 0:00:00,2001-07-16 0:00:00,1,11238,2592,,10,12420,12420,1,3756.989,
43730,1,2001-07-09 0:00:00,2001-07-21 0:00:00,2001-07-16 0:00:00,1,25861,13863,,4,23733,23733,1,3756.989,
43731,1,2001-07-09 0:00:00,2001-07-21 0:00:00,2001-07-16 0:00:00,1,16629,4184,,9,14019,14019,1,3953.9884,9
43732,1,2001-07-09 0:00:00,2001-07-21 0:00:00,2001-07-16 0:00:00,1,11025,11765,,9,21635,21635,1,3729.364,
43733,1,2001-07-09 0:00:00,2001-07-21 0:00:00,2001-07-16 0:00:00,1,27577,14698,,1,24572,24572,1,3953.9884,9
43734,1,2001-07-10 0:00:00,2001-07-22 0:00:00,2001-07-17 0:00:00,1,27604,13354,,1,23224,23224,1,3953.9884,9
43735,1,2001-07-10 0:00:00,2001-07-22 0:00:00,2001-07-17 0:00:00,1,16522,15500,,9,25384,25384,1,3953.9884,9
